CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segment,Cluster,ClusterName
12346,326,1,77183.6,1,1,5,7,Needs Attention,2,Loyal Regulars
12347,2,7,4310.0,5,5,5,15,Champions,0,VIP / Best
12348,75,4,1437.24,2,4,4,10,At Risk (high value),2,Loyal Regulars
12349,19,1,1457.55,4,1,4,9,Others,3,Steady Mid-Tier
12350,310,1,294.4,1,1,2,4,Hibernating / Lost,1,Occasional Buyers
12352,36,7,1385.74,3,5,4,12,Loyal Customers,2,Loyal Regulars
12353,204,1,89.0,1,1,1,3,Hibernating / Lost,1,Occasional Buyers
12354,232,1,1079.4,1,1,4,6,Others,1,Occasional Buyers
12355,214,1,459.4,1,1,2,4,Hibernating / Lost,1,Occasional Buyers
12356,23,3,2487.43,4,3,5,12,Champions,2,Loyal Regulars
12357,33,1,6207.67,4,1,5,10,Loyal Customers,2,Loyal Regulars
12358,2,2,928.0600000000001,5,2,4,11,Loyal Customers,3,Steady Mid-Tier
12359,58,4,6310.03,3,4,5,12,Loyal Customers,2,Loyal Regulars
12360,52,3,2302.06,3,3,5,11,Loyal Customers,2,Loyal Regulars
12361,287,1,174.9,1,1,1,3,Hibernating / Lost,1,Occasional Buyers
12362,3,10,4737.23,5,5,5,15,Champions,0,VIP / Best
12363,110,2,552.0,2,2,3,7,Others,1,Occasional Buyers
12364,8,4,1208.1,5,4,4,13,Champions,3,Steady Mid-Tier
12365,291,1,320.69,1,1,2,4,Hibernating / Lost,1,Occasional Buyers
12367,4,1,150.9,5,1,1,7,New / Promising,3,Steady Mid-Tier
12370,51,4,3421.94,3,4,5,12,Loyal Customers,2,Loyal Regulars
12371,60,1,1527.96,3,1,4,8,Others,2,Loyal Regulars
12372,72,3,1196.04,3,3,4,10,Loyal Customers,2,Loyal Regulars
12373,311,1,324.6,1,1,2,4,Hibernating / Lost,1,Occasional Buyers
12374,25,1,622.93,4,1,3,8,New / Promising,3,Steady Mid-Tier
12375,11,2,377.5,5,2,2,9,New / Promising,3,Steady Mid-Tier
12377,315,2,1548.12,1,2,4,7,Needs Attention,2,Loyal Regulars
12378,130,1,4008.62,2,1,5,8,Needs Attention,2,Loyal Regulars
12379,82,2,777.24,2,2,3,7,Others,2,Loyal Regulars
12380,22,4,2427.81,4,4,5,13,Champions,2,Loyal Regulars
12381,5,3,1474.81,5,3,4,12,Loyal Customers,3,Steady Mid-Tier
12383,185,5,1628.56,1,4,4,9,At Risk (high value),2,Loyal Regulars
12384,29,2,425.27000000000004,4,2,2,8,New / Promising,3,Steady Mid-Tier
12386,338,2,401.9,1,2,2,5,Hibernating / Lost,1,Occasional Buyers
12388,16,6,2780.66,4,5,5,14,Champions,0,VIP / Best
12390,80,1,504.84000000000003,2,1,3,6,Hibernating / Lost,1,Occasional Buyers
12391,22,1,439.66,4,1,2,7,New / Promising,3,Steady Mid-Tier
12393,72,4,1582.6000000000001,3,4,4,11,Loyal Customers,2,Loyal Regulars
12394,64,2,1080.48,3,2,4,9,Loyal Customers,2,Loyal Regulars
12395,19,12,2682.63,4,5,5,14,Champions,0,VIP / Best
12397,36,2,2214.9,3,2,5,10,Loyal Customers,2,Loyal Regulars
12398,46,1,1435.66,3,1,4,8,Others,2,Loyal Regulars
12399,119,4,1033.65,2,4,4,10,At Risk (high value),2,Loyal Regulars
12401,303,1,69.3,1,1,1,3,Hibernating / Lost,1,Occasional Buyers
12402,323,1,195.6,1,1,1,3,Hibernating / Lost,1,Occasional Buyers
12403,50,1,391.7,3,1,2,6,Potential Loyalists,1,Occasional Buyers
12405,149,1,1390.39,2,1,4,7,Others,1,Occasional Buyers
12406,22,2,3415.3,4,2,5,11,Loyal Customers,2,Loyal Regulars
12407,50,5,1507.1200000000001,3,4,4,11,Loyal Customers,2,Loyal Regulars
12408,33,5,2618.55,4,4,5,13,Champions,2,Loyal Regulars
12409,79,3,11072.67,2,3,5,10,At Risk (high value),2,Loyal Regulars
12410,309,2,533.33,1,2,3,6,Others,1,Occasional Buyers
12412,75,3,1142.88,2,3,4,9,Others,2,Loyal Regulars
12413,67,3,686.1,3,3,3,9,Loyal Customers,2,Loyal Regulars
12414,217,3,442.41,1,3,2,6,Others,1,Occasional Buyers
12415,24,20,124564.53,4,5,5,14,Champions,0,VIP / Best
12417,3,9,3226.1,5,5,5,15,Champions,0,VIP / Best
12418,113,1,668.58,2,1,3,6,Hibernating / Lost,1,Occasional Buyers
12420,64,1,600.39,3,1,3,7,Potential Loyalists,1,Occasional Buyers
12421,16,4,639.04,4,4,3,11,Loyal Customers,3,Steady Mid-Tier
12422,96,3,683.5600000000001,2,3,3,8,Needs Attention,2,Loyal Regulars
12423,1,8,1634.31,5,5,4,14,Champions,0,VIP / Best
12424,163,2,1760.96,2,2,4,8,Needs Attention,2,Loyal Regulars
12425,78,1,777.2,2,1,3,6,Hibernating / Lost,1,Occasional Buyers
12426,195,1,510.73,1,1,3,5,Hibernating / Lost,1,Occasional Buyers
12427,22,3,699.8,4,3,3,10,Loyal Customers,3,Steady Mid-Tier
12428,26,8,6405.26,4,5,5,14,Champions,0,VIP / Best
12429,9,4,3388.4,5,4,5,14,Champions,0,VIP / Best
12430,43,1,216.4,3,1,1,5,Potential Loyalists,1,Occasional Buyers
12431,36,15,6314.95,3,5,5,13,Loyal Customers,0,VIP / Best
12432,43,4,4359.32,3,4,5,12,Loyal Customers,2,Loyal Regulars
12433,1,7,13375.87,5,5,5,15,Champions,0,VIP / Best
12434,85,2,806.14,2,2,3,7,Others,2,Loyal Regulars
12435,80,2,7829.89,2,2,5,9,Others,2,Loyal Regulars
12436,100,1,429.01000000000005,2,1,2,5,Hibernating / Lost,1,Occasional Buyers
12437,2,18,4447.41,5,5,5,15,Champions,0,VIP / Best
12438,14,2,2466.85,5,2,5,12,Loyal Customers,2,Loyal Regulars
12441,367,1,155.55,1,1,1,3,Hibernating / Lost,1,Occasional Buyers
12442,3,1,144.06,5,1,1,7,New / Promising,3,Steady Mid-Tier
12444,21,5,4085.46,4,4,5,13,Champions,2,Loyal Regulars
12445,22,1,77.4,4,1,1,6,New / Promising,3,Steady Mid-Tier
12446,58,1,1002.3100000000001,3,1,4,8,Others,1,Occasional Buyers
12447,243,1,431.49,1,1,2,4,Hibernating / Lost,1,Occasional Buyers
12448,44,1,365.45,3,1,2,6,Potential Loyalists,1,Occasional Buyers
12449,22,4,3596.29,4,4,5,13,Champions,2,Loyal Regulars
12450,156,2,197.88,2,2,1,5,Hibernating / Lost,1,Occasional Buyers
12451,11,5,8995.52,5,4,5,14,Champions,0,VIP / Best
12452,17,1,348.57,4,1,2,7,New / Promising,3,Steady Mid-Tier
12453,134,1,707.09,2,1,3,6,Hibernating / Lost,1,Occasional Buyers
12454,56,1,3528.34,3,1,5,9,Loyal Customers,2,Loyal Regulars
12455,73,5,2339.86,2,4,5,11,At Risk (high value),2,Loyal Regulars
12456,44,3,2581.04,3,3,5,11,Loyal Customers,2,Loyal Regulars
12457,66,6,2043.23,3,5,5,13,Loyal Customers,2,Loyal Regulars
12458,71,2,787.4,3,2,3,8,Others,2,Loyal Regulars
12461,155,1,626.88,2,1,3,6,Hibernating / Lost,1,Occasional Buyers
12462,19,2,937.59,4,2,4,10,Loyal Customers,3,Steady Mid-Tier
12463,53,4,1200.78,3,4,4,11,Loyal Customers,2,Loyal Regulars
12464,10,8,957.05,5,5,4,14,Champions,0,VIP / Best
12465,17,2,682.1899999999999,4,2,3,9,Others,3,Steady Mid-Tier
12468,188,2,657.54,1,2,3,6,Others,1,Occasional Buyers
